"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"Lenovo","IdeaPad","Intel","Celeron Dual","Missing","4 GB GB","LPDDR4","0 GB","512 GB","Windows","32-bit",0,"Casual","Missing",0,"No","No",249.9,348.9,28,2.8,70,16
"acer","Predator","Intel","Core","Missing","4 GB GB","DDR4","0 GB","512 GB","Windows","32-bit",0,"Casual","Missing",0,"No","No",999.9,1499.99,33,4.5,1336,186
"acer","Aspire","Intel","Core i5","Missing","8 GB GB","DDR5","0 GB","512 GB","Windows","32-bit",4,"Casual","Missing",0,"No","No",509.9,899.99,43,4.4,10966,1185
"acer","Spin","Intel","Core i5","Missing","8 GB GB","LPDDR4","0 GB","512 GB","Windows","32-bit",0,"Casual","Missing",1,"No","No",1199.9,1249,3,4,1,1
"acer","Swift","Intel","Core i5","10th","8 GB GB","LPDDR4","0 GB","512 GB","DOS","32-bit",0,"Casual","Missing",0,"No","No",941.9,1249.99,24,4.3,31,6
"ASUS","ROG","Intel","Core i5","10th","8 GB GB","LPDDR4","0 GB","512 GB","DOS","32-bit",4,"Casual","Missing",0,"No","No",1061.67,1209.9,12,4.5,1881,241
"DELL","Missing","Intel","Core i5","10th","8 GB GB","LPDDR4","0 GB","512 GB","DOS","32-bit",4,"Casual","Missing",1,"No","No",680.9,695,2,1.6,23,4
"HP","15s","Intel","Core i5","10th","8 GB GB","LPDDR4","0 GB","512 GB","DOS","32-bit",0,"ThinNlight","Missing",0,"No","No",559.9,631.79,11,4,818,109
"Lenovo","Ideapad","Intel","Core i5","10th","8 GB GB","LPDDR4","0 GB","512 GB","DOS","32-bit",2,"Casual","Missing",0,"No","No",469.9,622.9,24,4.2,4428,569
"MICROSOFT","Surface","Intel","Core i5","10th","8 GB GB","LPDDR4X","128 GB","0 GB","Windows","64-bit",0,"Casual","Missing",0,"Yes","No",1001.9,1049.99,4,4.4,56,8
"Smartron","t.book","Intel","Core i5","7th","8 GB GB","DDR3","128 GB","0 GB","Windows","64-bit",0,"Casual","Missing",0,"Yes","No",529.9,559.99,5,3.5,30,9
"Smartron","t.book","Intel","Core i5","7th","4 GB GB","DDR3","128 GB","0 GB","Windows","64-bit",0,"Casual","12.2",0,"Yes","No",529.9,559.99,5,3.9,28,4
"Lenovo","Ideapad","Intel","Core i5","11th","8 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"Casual","15.6",2,"No","Yes",494.9,753.9,34,4.3,365,35
"acer","Swift","Intel","Core i5","7th","8 GB GB","DDR3","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",1,"No","Yes",868.67,999.99,13,4.4,39,3
"LG","Gram","Intel","Core i5","10th","8 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"Casual","Missing",0,"No","No",769.9,1040,25,4.5,15,7
"LG","Gram","Intel","Core i5","10th","8 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"Casual","Missing",0,"No","No",629.9,990,36,4.6,68,20
"acer","Swift","Intel","Core i5","8th","8 GB GB","DDR3","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",1,"Yes","Yes",819.98,827.99,0,4,14,3
"acer","Swift","Intel","Core i5","8th","8 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","13.3",1,"No","No",594.9,655.46,9,3.5,33,7
